Posterior Heading,Desired Heading,Heading Error,Absolute Heading Error,Average Heading Error
294.5253296,289.8213806,-4.703948975,4.703948975,
293.3186646,289.6850586,-3.633605957,3.633605957,
293.3186646,288.8652039,-4.453460693,4.453460693,
292.1060486,283.8177795,-8.288269043,8.288269043,
292.1060486,282.7484741,-9.357574463,9.357574463,
290.9949951,282.4937744,-8.501220703,8.501220703,
288.6635437,282.6243896,-6.039154053,6.039154053,
286.3662415,280.2096252,-6.156616211,6.156616211,
286.3662415,272.5315247,-13.8347168,13.8347168,
283.5524292,272.3661499,-11.1862793,11.1862793,
283.5524292,270.5383911,-13.01403809,13.01403809,
279.790863,271.789917,-8.000946045,8.000946045,
276.5574646,260.596405,-15.96105957,15.96105957,
276.5574646,261.4167786,-15.14068604,15.14068604,
272.2582703,262.8115234,-9.446746826,9.446746826,
272.2582703,261.1513367,-11.10693359,11.10693359,
268.3831787,254.6724854,-13.71069336,13.71069336,
268.3831787,252.6965332,-15.68664551,15.68664551,
264.6560059,254.501358,-10.15464783,10.15464783,
264.6560059,253.3205566,-11.33544922,11.33544922,
261.0313416,247.8201904,-13.21115112,13.21115112,
261.0313416,246.3984375,-14.63290405,14.63290405,
257.6447144,247.5924835,-10.05223083,10.05223083,
254.1863556,246.6407318,-7.545623779,7.545623779,
254.1863556,240.8063507,-13.38000488,13.38000488,
250.9858398,239.8561249,-11.12971497,11.12971497,
250.9858398,240.7647095,-10.22113037,10.22113037,
247.5655365,234.973465,-12.59207153,12.59207153,
247.5655365,233.0699921,-14.49554443,14.49554443,
244.1304626,233.7011261,-10.42933655,10.42933655,
240.3894501,225.3787079,-15.01074219,15.01074219,
240.3894501,226.3153992,-14.0740509,14.0740509,
236.5546417,227.5019989,-9.052642822,9.052642822,
236.5546417,216.9616547,-19.59298706,19.59298706,
232.6213226,217.2474518,-15.37387085,15.37387085,
227.7318268,214.0186462,-13.71318054,13.71318054,
227.7318268,203.4506378,-24.28118896,24.28118896,
222.0262451,204.4732819,-17.55296326,17.55296326,
222.0262451,192.7640686,-29.26217651,29.26217651,
214.8021545,196.0556335,-18.746521,18.746521,
208.8221283,199.1477509,-9.674377441,9.674377441,
203.9650421,199.118988,-4.846054077,4.846054077,
203.9650421,199.6285095,-4.336532593,4.336532593,
200.895752,202.5416107,1.645858765,1.645858765,
200.429245,203.7089386,3.279693604,3.279693604,
201.4220276,204.5377502,3.115722656,3.115722656,
201.4220276,204.2224579,2.800430298,2.800430298,
202.4446564,203.6280365,1.183380127,1.183380127,
203.0610962,204.1409454,1.079849243,1.079849243,
203.0610962,203.9688263,0.907730103,0.907730103,
203.4397736,204.3108826,0.871109009,0.871109009,
203.4397736,205.8388367,2.39906311,2.39906311,
203.877243,205.8632507,1.98600769,1.98600769,
203.877243,206.0974274,2.220184326,2.220184326,
204.5953827,206.2871857,1.691802979,1.691802979,
205.1663666,206.4125061,1.246139526,1.246139526,
205.1663666,206.0282593,0.8618927,0.8618927,
205.5888519,205.7906189,0.201766968,0.201766968,
205.5888519,205.777298,0.188446045,0.188446045,
205.7435303,205.6025696,-0.140960693,0.140960693,
205.7842255,205.4776154,-0.306610107,0.306610107,
205.7842255,205.4584503,-0.325775146,0.325775146,
205.6708069,205.5295563,-0.14125061,0.14125061,
205.6708069,205.6355591,-0.035247803,0.035247803,
205.639801,205.7116547,0.071853638,0.071853638,
205.639801,205.7274628,0.087661743,0.087661743,
205.6808014,205.5591125,-0.121688843,0.121688843,
205.7254486,205.4272919,-0.298156738,0.298156738,
205.7254486,205.2332458,-0.492202759,0.492202759,
205.6368408,205.040451,-0.596389771,0.596389771,
205.4857483,204.9635468,-0.522201538,0.522201538,
205.4857483,204.224762,-1.260986328,1.260986328,
205.2585602,204.145813,-1.112747192,1.112747192,
204.8951111,204.0337982,-0.861312866,0.861312866,
204.8951111,203.7810364,-1.114074707,1.114074707,
204.6252289,203.9437561,-0.681472778,0.681472778,
204.6252289,204.0534973,-0.571731567,0.571731567,
204.3973541,204.2787933,-0.118560791,0.118560791,
204.3276672,203.7166901,-0.610977173,0.610977173,
204.3276672,203.7062836,-0.621383667,0.621383667,
204.1763916,203.6935272,-0.48286438,0.48286438,
204.1763916,203.6384583,-0.53793335,0.53793335,
203.9756317,203.4785461,-0.497085571,0.497085571,
203.8500366,203.2699585,-0.580078125,0.580078125,
203.8500366,202.9010162,-0.949020386,0.949020386,
203.6378174,202.7287445,-0.909072876,0.909072876,
203.6378174,202.8534698,-0.784347534,0.784347534,
203.303833,203.3349152,0.031082153,0.031082153,
203.2159271,203.8610992,0.645172119,0.645172119,
203.3832703,204.2740326,0.890762329,0.890762329,
203.3832703,204.4847412,1.101470947,1.101470947,
203.6947784,204.2445831,0.549804688,0.549804688,
203.6947784,204.1187744,0.423995972,0.423995972,
203.9886322,203.4730072,-0.515625,0.515625,
203.9986877,203.2546539,-0.744033813,0.744033813,
203.7958374,203.2894592,-0.506378174,0.506378174,
203.7958374,203.283844,-0.511993408,0.511993408,
203.601944,203.4605408,-0.141403198,0.141403198,
203.601944,203.5795135,-0.02243042,0.02243042,
203.5327606,203.6595001,0.126739502,0.126739502,
203.5327606,203.5997314,0.066970825,0.066970825,
203.5656433,203.5620728,-0.003570557,0.003570557,
203.5656433,203.4669037,-0.098739624,0.098739624,
203.6470795,203.2459412,-0.401138306,0.401138306,
203.5682678,203.0572205,-0.511047363,0.511047363,
203.5682678,203.0968933,-0.471374512,0.471374512,
203.3945007,203.2844543,-0.110046387,0.110046387,
203.3310394,203.3097992,-0.021240234,0.021240234,
203.3310394,203.3356018,0.004562378,0.004562378,
203.3330841,203.4044495,0.071365356,0.071365356,
203.3330841,203.469986,0.136901855,0.136901855,
203.3650513,203.4996643,0.134613037,0.134613037,
203.4151764,203.5778809,0.162704468,0.162704468,
203.4151764,203.7219086,0.306732178,0.306732178,
203.4151764,203.8317871,0.416610718,0.416610718,
203.5378265,203.7128296,0.175003052,0.175003052,
203.6454315,203.6650696,0.019638062,0.019638062,
203.6454315,203.4883881,-0.157043457,0.157043457,
203.6422272,203.5324249,-0.109802246,0.109802246,
203.6422272,203.5175323,-0.124694824,0.124694824,
203.5912781,203.7651215,0.173843384,0.173843384,
203.5912781,203.9604034,0.369125366,0.369125366,
203.6220703,204.0982056,0.476135254,0.476135254,
203.768631,204.0786896,0.310058594,0.310058594,
203.768631,204.2518311,0.483200073,0.483200073,
203.9261017,204.14505,0.218948364,0.218948364,
203.9261017,204.1114349,0.185333252,0.185333252,
204.0594177,203.8737183,-0.185699463,0.185699463,
204.0295563,203.9252777,-0.104278564,0.104278564,
204.0295563,203.7310944,-0.298461914,0.298461914,
203.9601593,203.803894,-0.156265259,0.156265259,
203.9601593,203.994339,0.034179688,0.034179688,
203.9039764,204.2874451,0.383468628,0.383468628,
203.9903564,204.4144897,0.424133301,0.424133301,
203.9903564,204.4391022,0.448745728,0.448745728,
204.1598969,204.3507385,0.190841675,0.190841675,
204.1598969,204.4125214,0.252624512,0.252624512,
204.2641144,204.3634491,0.099334717,0.099334717,
204.3356934,204.398056,0.062362671,0.062362671,
204.3356934,204.2701416,-0.065551758,0.065551758,
204.3383484,204.2958984,-0.042449951,0.042449951,
204.3383484,204.4415436,0.10319519,0.10319519,
