Yaw,Pitch,Roll
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.2802369,0.093403328,-0.367738757
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5042701,0.030017318,-0.364574978
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5702211,-0.008594947,-0.464278926
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5537547,0.008891961,-0.462088125
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.5031532,-0.094994063,-0.545846514
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.4798081,-0.117431423,-0.564125
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.5542332,0.04747754,-0.600594268
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.705303,0.251769205,-0.554025098
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8567293,0.360439058,-0.532196282
114.8383886,0.359960408,-0.570506856
114.8383886,0.359960408,-0.570506856
