X,Y
303771.3763,3900331.978
303770.3943,3900329.734
303769.5453,3900327.82
303768.7763,3900326.036
303767.6331,3900323.357
303766.6696,3900321.124
303765.7422,3900318.934
303764.7934,3900316.746
303763.8116,3900314.486
303763.0057,3900312.696
303761.8509,3900310.187
303760.8552,3900308.029
303759.9934,3900306.162
303758.947,3900303.865
303757.8308,3900301.435
303756.7982,3900299.126
303755.7884,3900296.886
303754.8373,3900294.743
303753.8098,3900292.469
303752.6354,3900289.916
303751.7536,3900287.968
303750.9479,3900286.152
303749.6428,3900283.259
303748.5769,3900280.845
303747.5276,3900278.47
303745.7449,3900274.5
303744.3027,3900271.315
303743.0068,3900268.484
303741.8978,3900265.968
303740.8957,3900263.69
303739.9664,3900261.63
303739.134,3900259.86
303737.6388,3900256.511
303736.2632,3900253.439
303735.2243,3900251.162
303733.9354,3900248.337
303733.2283,3900246.744
303732.3761,3900244.874
303731.5937,3900243.127
303730.7509,3900241.184
303729.6304,3900238.639
303728.5367,3900236.149
303727.5967,3900233.947
303726.6893,3900231.856
303725.75,3900229.731
303724.8125,3900227.595
303723.9466,3900225.626
303723.0772,3900223.667
303721.8884,3900221.005
303720.9175,3900218.764
303719.9423,3900216.542
303718.9749,3900214.365
303717.9743,3900212.145
303717.0738,3900210.128
303716.181,3900208.124
303715.2033,3900205.989
303714.1363,3900203.714
303712.8051,3900201.18
303711.8453,3900199.633
303710.1154,3900197.433
303708.3135,3900195.778
303706.7066,3900194.728
303704.6922,3900193.83
303702.9014,3900193.34
303700.7954,3900193.054
303698.3866,3900193.014
303696.2452,3900193.122
303693.9414,3900193.298
303691.6515,3900193.468
303689.8192,3900193.593
303687.8289,3900193.717
303685.5444,3900193.863
303683.7216,3900193.98
303681.5848,3900194.105
303678.1952,3900194.281
303675.3979,3900194.444
303672.8213,3900194.572
303670.5323,3900194.692
303668.5463,3900194.804
303666.398,3900194.933
303664.3941,3900195.071
303662.4146,3900195.2
303659.6523,3900195.344
303657.1813,3900195.452
303654.869,3900195.563
303652.8087,3900195.652
303650.9178,3900195.712
303648.9268,3900195.761
303646.6625,3900195.889
303645.0495,3900195.98
303643.251,3900196.091
303640.6745,3900196.242
303638.4382,3900196.333
303636.3767,3900196.444
303634.1826,3900196.567
303632.0096,3900196.749
303630.0455,3900196.97
303628.0621,3900197.091
303625.9278,3900197.207
303623.7709,3900197.35
303621.4821,3900197.551
303619.3432,3900197.706
303616.7151,3900197.889
303614.5509,3900198.09
303612.3965,3900198.308
303610.1203,3900198.552
303608.1809,3900198.769
303606.1107,3900199.024
303602.5523,3900199.48
303599.9972,3900199.81
303597.7315,3900200.117
303594.7491,3900200.559
303591.773,3900201.028
303589.6852,3900201.357
303587.7562,3900201.674
303585.5386,3900202.053
303583.1501,3900202.473
303580.2931,3900203.011
303577.748,3900203.516
303575.506,3900203.992
303573.2367,3900204.468
303571.4131,3900204.837
303568.8522,3900205.376
303566.2863,3900205.948
303564.0134,3900206.456
303561.7407,3900206.96
303559.6169,3900207.445
303557.4843,3900207.945
303555.6719,3900208.387
303553.5632,3900208.9
303551.1065,3900209.468
303548.4808,3900210.143
303545.5314,3900210.921
303543.5716,3900211.442
303541.9136,3900211.853
303539.8214,3900212.361
303538.0693,3900212.802
303536.2811,3900213.253
303534.499,3900213.727
303532.3542,3900214.291
303529.7199,3900214.965
303527.9625,3900215.43
303525.8668,3900216.005
303523.8287,3900216.599
303522.0803,3900217.128
303519.8378,3900217.843
303517.8509,3900218.528
303515.8341,3900219.261
303513.3424,3900220.198
303511.1647,3900221.05
303508.404,3900222.184
303505.1255,3900223.615
303503.0634,3900224.536
303501.2952,3900225.331
303499.3765,3900226.199
303497.4462,3900227.072
303495.2167,3900228.086
303492.8596,3900229.153
303490.4982,3900230.231
303488.8693,3900230.97
303487.0799,3900231.769
303484.7082,3900232.823
303482.3733,3900233.872
303480.3476,3900234.798
303478.1753,3900235.818
303476.0317,3900236.857
303474.3376,3900237.709
303471.9515,3900238.94
303470.2715,3900239.833
303468.3152,3900240.903
303466.5163,3900241.925
303464.5967,3900243.056
303462.7357,3900244.193
303461.1631,3900245.209
303459.7119,3900246.183
303457.7687,3900247.551
303455.7015,3900249.003
303454.0201,3900250.249
303452.1453,3900251.682
303450.3243,3900253.004
303448.559,3900254.268
303446.7372,3900255.588
303445.0883,3900256.784
303442.618,3900258.597
303440.8732,3900259.824
303439.1441,3900261.094
303437.6146,3900262.143
303435.9905,3900263.282
303434.1303,3900264.584
303432.2753,3900265.889
303430.4228,3900267.221
303428.4626,3900268.641
303426.6397,3900269.994
303424.568,3900271.522
303423.005,3900272.659
303421.452,3900273.753
303420.0497,3900274.764
303418.3067,3900276.031
303416.3257,3900277.462
303414.0974,3900279.076
303411.412,3900281.139
303408.9455,3900283.128
303406.2108,3900285.402
303404.7684,3900286.585
303403.2402,3900287.884
303401.5485,3900289.385
303399.7146,3900290.962
303398.0184,3900292.445
303396.3586,3900293.964
303395.0163,3900295.221
303393.3217,3900296.817
303391.6509,3900298.432
303390.2769,3900299.689
303388.8151,3900301.054
303387.6142,3900302.216
303385.5366,3900304.266
303383.8424,3900305.901
303381.9766,3900307.813
303380.5635,3900309.257
303379.0359,3900310.789
303377.5351,3900312.339
303376.0162,3900313.822
303374.4482,3900315.336
303372.9011,3900316.852
303371.1948,3900318.611
303369.7797,3900320.049
303368.2644,3900321.668
303366.8147,3900323.105
303365.4726,3900324.43
303363.9691,3900326.002
303362.718,3900327.271
303361.2847,3900328.758
303359.6293,3900330.479
303357.383,3900332.737
303355.7856,3900334.419
303354.7079,3900335.561
303353.3552,3900336.932
303351.7175,3900338.585
303350.3034,3900340.065
303348.771,3900341.7
303347.5239,3900343.054
303346.1036,3900344.601
303344.6527,3900346.088
303342.9818,3900347.812
303341.5142,3900349.225
303340.0176,3900350.615
303338.2072,3900352.258
303336.7548,3900353.589
303335.3291,3900354.841
303333.5488,3900356.311
303331.5713,3900357.989
303329.7985,3900359.409
303327.9832,3900360.841
303326.4159,3900361.964
303325.1083,3900362.907
303323.028,3900364.351
303321.5054,3900365.355
303319.6724,3900366.501
303317.9688,3900367.573
303316.0384,3900368.659
303314.2514,3900369.699
303312.7375,3900370.576
303310.7031,3900371.494
303308.7852,3900372.328
303306.8543,3900372.792
303305.1327,3900373.587
303303.4576,3900374.403
303301.0963,3900375.558
303298.4611,3900376.755
303295.6285,3900377.992
303293.5088,3900378.967
303291.5202,3900379.849
303289.4221,3900380.824
303287.78,3900381.624
303286.1477,3900382.38
303283.7994,3900383.474
303281.2517,3900384.671
303278.4334,3900386.05
303276.4515,3900387.012
303274.8548,3900387.755
303273.1492,3900388.659
303271.1511,3900389.993
303269.8101,3900391.12
303268.4714,3900392.807
303267.5015,3900394.844
303266.9383,3900397.911
303267.0239,3900400.697
303268.0457,3900405.144
303269.0707,3900407.547
303269.9468,3900409.523
303270.9914,3900412.077
303272.0376,3900414.501
303273.0576,3900416.725
